frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3,752.872314453125 1369.2108154296875 1430.780517578125 1982.91064453125,973.765625 1753.3370361328125 1199.72802734375 1851.6199951171875,0.565712571144104,OA13NRU,0.31111454698547064
1,3,752.763898812428 1369.2585762064925 1430.435975535132 1982.8932762263496,973.757080078125 1753.3359375 1199.621337890625 1851.615234375,0.5656630992889404,OA13NRU,0.18627882884079347
2,3,751.5376481428199 1372.924475673689 1430.3471361074962 1988.8603594988563,970.3875732421875 1763.3526611328125 1194.627197265625 1858.8829345703125,0,0,0
3,3,750.3113974732116 1376.5903751408853 1430.2582966798605 1994.827442771363,967.01806640625 1773.369384765625 1189.633056640625 1866.150634765625,0,0,0
4,3,749.0851468036035 1380.2562746080816 1430.1694572522247 2000.7945260438696,963.6485595703125 1783.3861083984375 1184.638916015625 1873.4183349609375,0.4999427795410156,NA13NRU,0.46606421649012747
5,3,746.7078256982758 1383.415112764639 1429.2572384340497 2005.8650059261697,958.8839721679688 1784.8225341796874 1185.351171875 1877.1863525390625,0,0,0
6,3,744.3305045929482 1386.5739509211962 1428.345019615875 2010.9354858084698,954.119384765625 1786.2589599609375 1186.063427734375 1880.9543701171874,0,0,0
7,3,741.9531834876204 1389.7327890777533 1427.4328007976999 2016.0059656907702,949.3547973632812 1787.6953857421875 1186.77568359375 1884.7223876953126,0,0,0
8,3,739.5758623822928 1392.8916272343106 1426.520581979525 2021.0764455730703,944.5902099609375 1789.1318115234376 1187.487939453125 1888.4904052734375,0,0,0
9,3,737.1985412769651 1396.0504653908679 1425.60836316135 2026.1469254553704,939.8256225585938 1790.5682373046875 1188.2001953125 1892.2584228515625,0.3869597911834717,NA13NRU,0.3916776562153381
10,3,733.9815222246954 1398.7390221261908 1424.497837867306 2031.2362900623061,941.0514526367188 1794.52099609375 1187.80908203125 1895.86669921875,0,0,0
11,3,730.7645031724257 1401.4275788615137 1423.387312573262 2036.3256546692419,942.2772827148438 1798.4737548828125 1187.41796875 1899.4749755859375,0,0,0
12,3,727.547484120156 1404.1161355968366 1422.276787279218 2041.4150192761776,943.5031127929688 1802.426513671875 1187.02685546875 1903.083251953125,0.5232537984848022,NA13NRU,0.5026946152826635
13,3,726.2982508223783 1404.2621356333411 1420.756267679402 2043.2461301625808,943.4718017578125 1802.43310546875 1187.15625 1903.107421875,0.523212194442749,NA13NRU,0.5026946152826635
14,3,725.948051531249 1407.0738143121414 1423.1740560007229 2052.1907329919986,938.2769165039062 1806.96240234375 1184.478759765625 1911.066650390625,0.563962459564209,NA13NRU,0.5168530531299063
15,3,723.0792314357134 1408.5605018111926 1418.8183220916019 2053.3831522802134,936.7955932617188 1821.8829345703125 1156.318603515625 1914.3599853515625,0.5854652523994446,NA13MRU,0.2114407460213353
16,3,722.458732746752 1412.9163865397238 1419.6812316489218 2056.865444829803,959.2699584960938 1826.1456298828125 1167.94140625 1918.6951904296875,0.5466138124465942,NA13NRU,0.1844123806443501
17,3,716.9064344784381 1417.3288082227807 1415.1858434524308 2062.0351978138824,957.8289794921875 1835.7568359375 1171.0255126953125 1923.843017578125,0.5815416574478149,NA13NRU,0.3599270696259898
18,3,714.3518964734594 1420.1759783508555 1414.121776434354 2065.8293222804555,953.8523315429687 1839.138134765625 1169.3437622070312 1927.3749755859376,0,0,0
19,3,711.7973584684809 1423.0231484789304 1413.0577094162768 2069.6234467470285,949.87568359375 1842.51943359375 1167.66201171875 1930.90693359375,0,0,0
20,3,709.2428204635022 1425.8703186070052 1411.9936423981999 2073.4175712136016,945.8990356445313 1845.900732421875 1165.9802612304688 1934.4388916015625,0,0,0
21,3,706.6882824585236 1428.71748873508 1410.9295753801227 2077.2116956801747,941.9223876953125 1849.28203125 1164.2985107421875 1937.970849609375,0,0,0
22,3,704.133744453545 1431.5646588631548 1409.8655083620458 2081.0058201467477,937.9457397460938 1852.663330078125 1162.6167602539062 1941.5028076171875,0,0,0
23,3,701.5792064485663 1434.4118289912294 1408.801441343969 2084.799944613321,933.969091796875 1856.04462890625 1160.935009765625 1945.034765625,0,0,0
24,3,699.0246684435878 1437.2589991193042 1407.7373743258918 2088.594069079894,929.9924438476562 1859.425927734375 1159.2532592773437 1948.5667236328125,0,0,0
